level_0,@module_x,@class_x,name_x,@version_x,X.discharge_capacity_cycle_2,X.max_discharge_capacity_difference,X.discharge_capacity_cycle_100,X.integrated_time_temperature_cycles_1:100,X.charge_time_cycles_1:5,X.abs_min_discharge_capacity_difference_cycles_2:100,X.abs_mean_discharge_capacity_difference_cycles_2:100,X.abs_variance_discharge_capacity_difference_cycles_2:100,X.abs_skew_discharge_capacity_difference_cycles_2:100,X.abs_kurtosis_discharge_capacity_difference_cycles_2:100,X.abs_first_discharge_capacity_difference_cycles_2:100,X.max_temperature_cycles_1:100,X.min_temperature_cycles_1:100,X.slope_discharge_capacity_cycle_number_2:100,X.intercept_discharge_capacity_cycle_number_2:100,X.slope_discharge_capacity_cycle_number_91:100,X.intercept_discharge_capacity_cycle_number_91:100,X.min_internal_resistance_cycles_2:100,X.internal_resistance_cycle_2,X.internal_resistance_difference_cycles_2:100,X.nominal_capacity_by_median,metadata.barcode_x,metadata.protocol_x,metadata.channel_id_x,metadata.parameters.init_pred_cycle,metadata.parameters.mid_pred_cycle,metadata.parameters.final_pred_cycle,metadata.parameters.n_nominal_cycles,bat_num,batches,bat_name,index,@module_y,@class_y,name_y,@version_y,X.capacity_0.98,X.capacity_0.95,X.capacity_0.92,X.capacity_0.89,X.capacity_0.86,X.capacity_0.83,X.capacity_0.8,metadata.barcode_y,metadata.protocol_y,metadata.channel_id_y,metadata.parameters.thresh_max_cap,metadata.parameters.thresh_min_cap,metadata.parameters.interval_cap
0,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000000_CH19_features_DeltaQFastCharge.json,2021.1.11.15,1.0454259,0.8891461000000003,1.0331815,231072.4263671875,614.4000244140625,-1.1444158302992298,-1.4704373906287305,-3.0140237495051614,-1.0909721241824895,0.2867392973241303,-1.2495456976094044,37.402427673339844,29.229534149169922,-0.00017471083982684502,1.0510357480519479,-0.00021318666666667472,1.0539903000000008,0.0164349302649498,0.017864122986793518,-0.0010415539145469666,1.047977,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,18,10,91,100,40,19,b2,b2c19,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000000_CH19_features_TrajectoryFastCharge.json,2021.1.11.15,127,269,376,423,449,467,483,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,18,0.98,0.78,0.03
1,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000001_CH16_features_DeltaQFastCharge.json,2021.1.11.15,1.0620247999999999,0.48970650000000004,1.0439155,149767.85131961218,563.2000122070312,-1.2773591296554208,-1.6075663266888425,-3.2630501917430252,-2.111475022250797,0.2714292053667025,-1.3275196341994346,37.46143341064453,30.94306182861328,-0.00020123518738404835,1.0640057623995052,-0.0002477642424242433,1.0684252509090908,0.013516996055841446,0.013516996055841446,0.0003414759412407875,1.06011365,el150800737229,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,15,10,91,100,40,16,b3,b3c16,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000001_CH16_features_TrajectoryFastCharge.json,2021.1.11.15,125,276,426,528,613,668,668,el150800737229,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,15,0.98,0.78,0.03
2,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000001_CH30_features_DeltaQFastCharge.json,2021.1.11.15,1.0678786,0.4961450999999999,1.054091,205315.4877278646,614.4000244140625,-1.3752393675218624,-1.6988369710564806,-3.451007315817897,-1.762624654609498,0.2750033297734881,-1.4263361610825807,38.31761169433594,31.55476188659668,-0.0001580296190476289,1.0700215597402596,-0.00017460424242425441,1.071418530909092,0.013937968760728836,0.013937968760728836,0.00024036318063735962,1.06736225,el150800737366,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,29,10,91,100,40,30,b3,b3c30,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000001_CH30_features_TrajectoryFastCharge.json,2021.1.11.15,774,774,774,774,774,774,774,el150800737366,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,29,0.98,0.78,0.03
3,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000001_CH38_features_DeltaQFastCharge.json,2021.1.11.15,1.0512739,0.49011190000000004,1.0341983000000001,159799.4890051929,563.2000122070312,-1.2430890844325302,-1.5471854388391135,-3.174008098014788,-1.0411407035700906,0.2816340786048657,-1.3167889628762983,39.85648727416992,31.972694396972656,-0.0001956127606679026,1.0544770481344048,-0.0002710866666666712,1.06102388,0.013169404119253159,0.013172633945941925,0.00042933784425258636,1.05098615,el150800737234,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,37,10,91,100,40,38,b3,b3c38,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000001_CH38_features_TrajectoryFastCharge.json,2021.1.11.15,543,543,543,543,543,543,543,el150800737234,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,37,0.98,0.78,0.03
4,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000002_CH10_features_DeltaQFastCharge.json,2021.1.11.15,1.0665728,0.47571469999999993,1.0695093,146029.5250360061,614.4000244140625,-1.640443517452452,-2.0329662447908157,-4.054917900108125,-0.5709892090544539,0.2252006850228702,-1.6725403664841703,33.974361419677734,30.64265251159668,-2.4585034013556943e-06,1.0704802534528957,-5.5178181818165246e-05,1.074865958181816,0.015180223621428013,0.015434841625392437,-0.0001586293801665306,1.0708095,el150800737329,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,9,10,91,100,40,10,b3,b3c10,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000002_CH10_features_TrajectoryFastCharge.json,2021.1.11.15,1011,1011,1011,1011,1011,1011,1011,el150800737329,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,9,0.98,0.78,0.03
5,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000002_CH18_features_DeltaQFastCharge.json,2021.1.11.15,1.0636606000000002,0.4938790999999998,1.0671253,209497.12162679035,640.0,-1.5768033167959425,-1.923342987403518,-3.887988262137928,-1.1403814898857094,0.2615868870863075,-1.6264689079682866,35.5458984375,30.969942092895508,-6.920346320978141e-08,1.067975557142857,-3.663999999997916e-05,1.0707460199999979,0.015200929716229439,0.015485342592000961,-0.00021591316908597946,1.068416,el150800737233,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,17,10,91,100,40,18,b3,b3c18,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000002_CH18_features_TrajectoryFastCharge.json,2021.1.11.15,830,830,830,830,830,830,830,el150800737233,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,17,0.98,0.78,0.03
6,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000002_CH2_features_DeltaQFastCharge.json,2021.1.11.15,1.063777,0.49073010000000017,1.0665586999999999,153827.4619218948,588.7999877929688,-1.5652696620134054,-1.8938388933806327,-3.8444683943189335,-2.58092264942148,0.27177224784517234,-1.6551447804793065,36.23225402832031,30.598567962646484,-4.303586889302227e-06,1.0676381773242625,-3.720666666666087e-05,1.070223219999999,0.015206913463771343,0.0154414689168334,-0.00011431332677602768,1.06794655,el150800737315,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,1,10,91,100,40,2,b3,b3c2,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000002_CH2_features_TrajectoryFastCharge.json,2021.1.11.15,815,815,815,815,815,815,815,el150800737315,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,1,0.98,0.78,0.03
7,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000002_CH34_features_DeltaQFastCharge.json,2021.1.11.15,1.0451530999999998,0.4924756000000001,1.0501817,209598.21226806645,614.4000244140625,-1.6140375919653802,-1.9785959830486421,-3.962664020827549,-0.7652043447240845,0.2535753421174678,-1.655176372776114,37.871063232421875,31.712324142456055,1.307641063698133e-05,1.0497375804782512,-5.107212121208666e-05,1.055155765454542,0.015503049828112125,0.01577148586511612,-0.00017171073704957962,1.0503962,el150800737368,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,33,10,91,100,40,34,b3,b3c34,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000002_CH34_features_TrajectoryFastCharge.json,2021.1.11.15,827,827,827,827,827,827,827,el150800737368,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,33,0.98,0.78,0.03
8,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000002_CH42_features_DeltaQFastCharge.json,2021.1.11.15,1.0594152000000001,0.4907539999999997,1.0610051999999999,197824.53690999348,614.4000244140625,-1.7116007113337552,-2.1256334643962145,-4.16956570113559,-0.49869508525195455,0.2337661166218654,-1.7802354504572118,34.695709228515625,31.415868759155273,-1.0161539888685842e-05,1.062652073964131,-4.516969696970905e-05,1.0655039363636374,0.015279103070497513,0.015608472749590874,-0.00022357888519763947,1.0627165,el150800737304,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,41,10,91,100,40,42,b3,b3c42,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000002_CH42_features_TrajectoryFastCharge.json,2021.1.11.15,1286,1286,1286,1286,1286,1286,1286,el150800737304,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,41,0.98,0.78,0.03
9,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000002_CH47_features_DeltaQFastCharge.json,2021.1.11.15,1.0691597,0.4905497000000001,1.0711367,152518.0650356863,614.4000244140625,-1.6977576694101852,-2.139786850925206,-4.139340184188965,-0.4299842805160382,0.209645754797504,-1.7195308533441922,38.268310546875,30.96686363220215,-6.511867656158997e-06,1.072289053988868,-5.4339999999966286e-05,1.0765164399999962,0.015742944553494453,0.016009803861379623,-0.00014126673340797424,1.07243805,el150800737334,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,46,10,91,100,40,47,b3,b3c47,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000002_CH47_features_TrajectoryFastCharge.json,2021.1.11.15,1937,1937,1937,1937,1937,1937,1937,el150800737334,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,46,0.98,0.78,0.03
