battery,charge_throughput,cycle_index
LFP_15C_0-100_0.5-1C_a_CH00,4524.021,4550.0
LFP_15C_0-100_0.5-1C_a_CH01,3577.625,3552.0
LFP_15C_0-100_0.5-1C_a_CH02,3680.164,3760.0
LFP_15C_0-100_0.5-1C_a_CH03,3655.051,3753.0
LFP_15C_0-100_0.5-1C_a_CH04,3058.955,3049.0
LFP_15C_0-100_0.5-1C_a_CH05,3485.849,3544.0
LFP_15C_0-100_0.5-1C_a_CH06,3530.3379999999997,3635.0
LFP_15C_0-100_0.5-1C_a_CH07,3061.07,3037.0
LFP_15C_0-100_0.5-1C_a_CH08,3058.092,3037.0
LFP_15C_0-100_0.5-1C_a_CH09,3469.676,3543.0
LFP_15C_0-100_0.5-1C_a_CH10,3449.4559999999997,4049.0
LFP_15C_0-100_0.5-1C_a_CH11,4224.976,4568.0
LFP_15C_0-100_0.5-1C_a_CH12,3772.288,4061.0
LFP_15C_0-100_0.5-1C_a_CH13,3248.288,3554.0
LFP_15C_0-100_0.5-1C_a_CH14,3832.8459999999995,4061.0
LFP_25C_20-80_0.5-0.5C_a_CH15,3484.63,7374.0
LFP_25C_20-80_0.5-0.5C_b_CH16,4004.8920000000003,8395.0
LFP_25C_20-80_0.5-0.5C_c_CH17,3344.7670000000003,5944.0
LFP_25C_20-80_0.5-0.5C_d_CH18,3647.947,6591.0
LFP_25C_20-80_0.5-3C_a_CH19,1960.727,2958.0
LFP_25C_40-60_0.5-0.5C_a_CH20,1889.13,19174.0
LFP_25C_40-60_0.5-0.5C_b_CH21,2187.72,18165.0
LFP_25C_40-60_0.5-3C_a_CH22,2871.171,12627.0
LFP_25C_40-60_0.5-3C_b_CH23,2641.03,11620.0
LFP_35C_0-100_0.5-1C_a_CH24,3086.367,3155.0
LFP_35C_0-100_0.5-1C_b_CH25,3154.403,3341.0
LFP_35C_0-100_0.5-1C_c_CH26,3188.1059999999998,3341.0
LFP_35C_0-100_0.5-1C_d_CH27,3647.473,3797.0
LFP_35C_0-100_0.5-2C_a_CH28,3702.803,3855.0
LFP_35C_0-100_0.5-2C_b_CH29,3331.6420000000003,3597.0
