battery,charge_throughput,cycle_index
NCA_15C_0-100_0.5-1C_a_CH00_struct,1261.478,521.0
NCA_15C_0-100_0.5-1C_b_CH01_struct,2205.619,917.0
NCA_15C_0-100_0.5-2C_a_CH02_struct,1841.362,915.0
NCA_15C_0-100_0.5-2C_b_CH03_struct,1702.899,783.0
NCA_25C_0-100_0.5-0.5C_a_CH04_struct,1354.915,512.0
NCA_25C_0-100_0.5-0.5C_b_CH05_struct,1434.111,915.0
NCA_25C_0-100_0.5-1C_a_CH06_struct,1725.094,653.0
NCA_25C_0-100_0.5-1C_b_CH07_struct,1385.172,521.0
NCA_25C_0-100_0.5-1C_c_CH08_struct,1398.727,521.0
NCA_25C_0-100_0.5-1C_d_CH09_struct,1729.2779999999998,653.0
NCA_25C_0-100_0.5-2C_a_CH10_struct,1935.8329999999999,785.0
NCA_25C_0-100_0.5-2C_b_CH11_struct,1899.54,785.0
NCA_25C_20-80_0.5-0.5C_a_CH12_struct,1975.1879999999999,1159.0
NCA_25C_20-80_0.5-0.5C_b_CH13_struct,2277.257,1293.0
NCA_25C_20-80_0.5-0.5C_c_CH14_struct,2212.129,1291.0
NCA_25C_20-80_0.5-0.5C_d_CH15_struct,2494.1,1528.0
NCA_25C_40-60_0.5-0.5C_a_CH16_struct,5327.46,7877.0
NCA_25C_40-60_0.5-0.5C_b_CH17_struct,4111.3640000000005,6079.0
NCA_35C_0-100_0.5-1C_a_CH18_struct,1429.335,514.0
NCA_35C_0-100_0.5-1C_b_CH19_struct,1260.386,463.0
NCA_35C_0-100_0.5-1C_c_CH20_struct,1434.862,514.0
NCA_35C_0-100_0.5-1C_d_CH21_struct,1762.5729999999999,653.0
NCA_35C_0-100_0.5-2C_a_CH22_struct,1602.604,653.0
NCA_35C_0-100_0.5-2C_b_CH23_struct,1890.861,785.0
