battery,charge_throughput,cycle_index
NMC_15C_0-100_0.5-1C_a_CH00_struct,1054.64,512.0
NMC_15C_0-100_0.5-1C_b_CH01_struct,1050.678,512.0
NMC_15C_0-100_0.5-2C_a_CH02_struct,841.2139999999999,388.0
NMC_15C_0-100_0.5-2C_b_CH03_struct,832.784,388.0
NMC_25C_0-100_0.5-0.5C_a_CH04_struct,1378.247,552.0
NMC_25C_0-100_0.5-0.5C_b_CH05_struct,1705.3129999999999,678.0
NMC_25C_0-100_0.5-1C_a_CH06_struct,1319.776,520.0
NMC_25C_0-100_0.5-1C_b_CH07_struct,1925.859,784.0
NMC_25C_0-100_0.5-1C_c_CH08_struct,1008.419,396.0
NMC_25C_0-100_0.5-1C_d_CH09_struct,1322.86,528.0
NMC_25C_0-100_0.5-2C_a_CH10_struct,1623.8429999999998,660.0
NMC_25C_0-100_0.5-2C_b_CH11_struct,3129.677,1320.0
NMC_25C_0-100_0.5-3C_a_CH12_struct,1817.545,729.0
NMC_25C_0-100_0.5-3C_b_CH13_struct,1393.135,551.0
NMC_25C_0-100_0.5-3C_c_CH14_struct,1747.41,697.0
NMC_25C_0-100_0.5-3C_d_CH15_struct,2235.783,904.0
NMC_25C_20-80_0.5-0.5C_a_CH16_struct,6477.41,4350.0
NMC_25C_20-80_0.5-0.5C_b_CH17_struct,5593.483,3630.0
NMC_25C_20-80_0.5-0.5C_d_CH19_struct,5288.438,3359.0
NMC_25C_20-80_0.5-3C_a_CH20_struct,5150.005999999999,3609.0
NMC_25C_20-80_0.5-3C_b_CH21_struct,1804.766,1541.0
NMC_25C_40-60_0.5-0.5C_a_CH22_struct,6971.786999999999,11149.0
NMC_25C_40-60_0.5-0.5C_b_CH23_struct,5701.78,9121.0
NMC_25C_40-60_0.5-3C_a_CH24_struct,8109.346,12918.0
NMC_25C_40-60_0.5-3C_b_CH25_struct,6965.715,11148.0
NMC_35C_0-100_0.5-1C_a_CH26_struct,1627.971,785.0
NMC_35C_0-100_0.5-1C_b_CH27_struct,1956.5610000000001,785.0
NMC_35C_0-100_0.5-1C_c_CH28_struct,1638.455,784.0
NMC_35C_0-100_0.5-1C_d_CH29_struct,1625.621,785.0
NMC_35C_0-100_0.5-2C_a_CH30_struct,1969.876,785.0
NMC_35C_0-100_0.5-2C_b_CH31_struct,1918.474,771.0
